School_Name,Alp_Domain,Alp_Title,Llp_Domain1,Llp_Title1,Llp_Domain2,Llp_Title2
Innova Primary School,Interdisciplinary,Creative Problem Solving (Cps) Programme: Cps@Ips For The Holistic Development Of A 21St Century Child In Innova Primary School,Community Service & Student Leadership,Leading Through Serving,Na,Na
Jiemin Primary School,Languages,J-Year (Jiemin- Young Editors And Reporters ),Music & Performing Arts/ Visual Arts & Design,Aesthetics Alive,Na,Na
Jing Shan Primary School,Science,"Learning Science – The I3 (Inquiry, Ict & Innovation) Approach",Visual Arts & Design,"Nurturing Thinkers, Learners And Leaders Through Visual Arts And Pottery",Na,Na
Junyuan Primary School,Languages,Developing Every Student Into A Confident Communicator,Sports & Outdoor Education,Shaping Individuals To Excel (Shine) @ Junyuan Through Sports,Na,Na
Jurong Primary School,Na,Na,Sports & Outdoor Education,Every Child A Leader @ Jps (Ecal @ Jps),Na,Na
Jurong West Primary School,Languages,Art Of Communication For Personal Excellence,Sports & Outdoor Education,Experiential Learning Of Lifeskills For Personal Excellence,Na,Na
Juying Primary School,Interdisciplinary,Thinkabits,Community Service & Student Leadership,Environmental Education,Na,Na
Keming Primary School,Na,Na,Sports & Outdoor Education,Sports4All@Keming: Character Development Through Sports,Na,Na
Kheng Cheng School,Na,Na,Community Service & Student Leadership,Student Voice & Advocacy (Sva) @ Kcs,Na,Na
Kong Hwa School,Languages,Every Pupil An Effective Communicator,Sports & Outdoor Education,Exposure-Experience-Excel Through Sports,Na,Na
Kranji Primary School,Na,Na,Sports & Outdoor Education,Developing Champions In Life Through Sports,Na,Na
Kuo Chuan Presbyterian Primary School,Languages,"E-Cube: Engage, Excite, Express",Visual Arts & Design,Learning For Life In Art And Design,Na,Na
Lakeside Primary School,Na,Na,Music & Performing Arts,Arts De La Sc&Egrave;Ne,Na,Na
Lianhua Primary School,Coding,Robotics Project Work,Sports & Outdoor Education,Via Through Sports,Na,Na
Loyang Primary School,Science,Nature-Based Education,Visual Arts & Design,Creative Arts @ Lp,Na,Na
Macpherson Primary School,Na,Na,Sports & Outdoor Education,"Learn, Love, Lead Through Sports (3L Sports)",Na,Na
Maha Bodhi School,Na,Na,Music & Performing Arts,Learning Through An Ethnic Arts Programme (Leap),Na,Na
Marsiling Primary School,Na,Na,Community Service & Student Leadership,"Lead (Learn, Engage, Absorb, Demonstrate) To Serve @ Mps",Na,Na
Marymount Convent School,Na,Na,Sports & Outdoor Education,Sports Excellence (Spex) @ Marymount,Music & Performing Arts/ Visual Arts & Design,Grooming Cultured And Refined Ladies Through The Aesthetics
Mayflower Primary School,Na,Na,Music & Performing Arts,"Llp@Mfps: Development Of Character, Citizenship And 21Cc In And Through The Arts",Na,Na
Mee Toh School,Interdisciplinary,"Educate, Engage And Empower Eco-Citizens @Mts",Sports & Outdoor Education,Sence @ Mts,Na,Na
Meridian Primary School,Interdisciplinary,"Nurturing Future Learners, Citizens And Leaders Through A Whole School Interdisciplinary Approach In Eco-Environmental Curriculum",Community Service & Student Leadership,Meridian Values-Based Student Leadership In Action For 21Cc,Na,Na
Methodist Girls' School (Primary),Languages,Language And Communication,Na,Na,Na,Na
Montfort Junior School,Science,"Developing Future Ready Monfortians: I Dream, I Believe, I Make",Sports & Outdoor Education,Character Matters: Developing Montfortians With Christe Values Through Sports,Na,Na
Nan Chiau Primary School,Interdisciplinary,Applied Learning@Ncps Through Project Work,Community Service & Student Leadership,Watch Me Soar (Student Leadership Llp - A Whole School Approach),Na,Na
Nan Hua Primary School,Interdisciplinary,Nhps Thinking Programme,Na,Na,Na,Na
Nanyang Primary School,Innovation & Enterprise,Mind Sports For Life,Music & Performing Arts,Building Cultural Quotience Through Dance,Na,Na
Naval Base Primary School,Na,Na,Sports & Outdoor Education,Holistic Outdoor Physical Education & Sports (Hopes) Programmes,Na,Na
New Town Primary School,Na,Na,Community Service & Student Leadership,A Leader In Every Child,Na,Na
Ngee Ann Primary School,Na,Na,Music & Performing Arts,"Grace (Graciousness Through Arts, Creating Excellence) In Performing Arts Programme",Na,Na
North Spring Primary School,Na,Na,Community Service & Student Leadership,Nsps Cce Learning Experience – A Holistic And Engaging Approach,Sports & Outdoor Education,Play Your Hearts Out @  North Spring
North View Primary School,Na,Na,Music & Performing Arts,Every Pupil A Confident Performer,Na,Na
North Vista Primary School,Ict & Media,Developing 21St Century Competencies Through Ict,Visual Arts & Design,Visual Arts & Design,Na,Na
Northland Primary School,Interdisciplinary,Skilling The Mind; Empowering The Thinking,Music & Performing Arts,"My Story, My Stage",Na,Na
Northoaks Primary School,Innovation & Enterprise,Curriculum Integration Through Innovation@Northoakes (Ci=I@Northoakes),Na,Na,Na,Na
Oasis Primary School,Na,Na,Community Service & Student Leadership,Lead With A Heart@Oasis,Na,Na
Opera Estate Primary School,Na,Na,Music & Performing Arts,Ignite The Arts @ Oeps,Community Service & Student Leadership,"Learn To Lead, Lead To Serve"
Palm View Primary School,Languages,Act-Cellence: Education Through Drama Programme,Na,Na,Na,Na
Park View Primary School,Na,Na,Sports & Outdoor Education,Park View Sports Experiential Programme,Community Service & Student Leadership,Leader In Me
Pasir Ris Primary School,Na,Na,Community Service & Student Leadership,Leaders Growing Leaders,Sports & Outdoor Education,E3 In Sports@Prps
Paya Lebar Methodist Girls' School (Primary),Na,Na,Sports & Outdoor Education,Aesthetics Sports Experience @ Pl,Music & Performing Arts,Music Harmonises @ Pl
Pei Chun Public School,Languages,Bilingual Media Studies (Bms) Programme,Community Involvement & Student Leadership,Pei Chun Leaders Programme (Pclp),Na,Na
Pei Hwa Presbyterian Primary School,Languages,"Competent, Confident Communicators (C<Sup>3</Sup>) – A 6 Year Progressive Programme.",Sports & Outdoor Education,"Star (Self-Defence, Track & Field, Adventure And Racquet Games) @ Phpps",Na,Na
Pei Tong Primary School,Na,Na,Music & Performing Arts,Melody@Pei Tong,Na,Na
Peiying Primary School,Na,Na,Sports & Outdoor Education,"Sports, Character Development And Adventure Learning Experiences @ Peiying (Scale@Peiying)",Na,Na
Pioneer Primary School,Na,Na,Music & Performing Arts,Fitness And Graciousness Through Dance,Na,Na
Poi Ching School,Na,Na,Music & Performing Arts,D’Arts@Pcs,Na,Na
Princess Elizabeth Primary School,Na,Na,Community Service & Student Leadership,Aspire To Serve And Lead,Na,Na
Punggol Cove Primary School,Languages,Holistic English Literacy Programme (Help),Na,Na,Na,Na
Punggol Green Primary School,Na,Na,Community Service & Student Leadership,Learning For Life Through Environmental Education And Project Work (L.E.A.P.),Na,Na
Punggol Primary School,Interdisciplinary,Greenovation @ Pps,Sports & Outdoor Education,Sel & Character Development Through Active Participation In Sports (S.T.A.R.S.),Na,Na
Punggol View Primary School,Na,Na,Sports & Outdoor Education,Building Character Through Outdoor Education,Na,Na
Qifa Primary School,Languages,Effective Communication,Sports & Outdoor Education,Champs @Qifa,Na,Na
Qihua Primary School,Innovation & Enterprise,Inventive And Critical Thinking Skills Through Innovation And Entrepreneurship Excellence Programme,Sports & Outdoor Education,Promotion Of School Values Through Sports Development Programme (Sdp),Na,Na
Queenstown Primary School,Na,Na,Visual Arts & Design,Connecting The Hearts With Arts,Na,Na
Radin Mas Primary School,Coding,Nurturing 21St Century Competencies Through Computational Thinking With Design Thinking,Na,Na,Na,Na
Raffles Girls' Primary School,Languages,Nurturing Confident Communicators,Music & Performing Arts,Developing Creatively Through Collaborative Music Making,Na,Na
Red Swastika School,Science,Tinkers To Thinkers (T2T) Programme,Community Service & Student Leadership,Every Rss Student A Leader,Na,Na
River Valley Primary School,Na,Na,Community Service & Student Leadership,Enhancing Character And Citizenship Education With Leadership Development To Edify Lives In Rvps,Na,Na
Riverside Primary School,Interdisciplinary,Playworks – Nurturing Critical And Inventive Thinkers,Na,Na,Na,Na
Rivervale Primary School,Science,Multi-Literacy Programme (Mlp),Music & Performing Arts,Dance Fever – Dance Aces Nurturing Cultural Expression For Every Riverlite,Na,Na
Rosyth School,Science,Augmenting Science Learning Through Innovation,Music & Performing Arts,Programme For Aesthetics Integration@Rosyth (Pair),Na,Na
Rulang Primary School,Coding,Enhancing 21St Century Competencies Through Robotics,Sports & Outdoor Education,"Sports Teach Responsibility, Inventiveness, Values & Excellence (Strive) @ Rulang",Na,Na
Sembawang Primary School,Science,Nurturing Green Citizens & Leaders Through Environmental Studies,Na,Na,Na,Na
Seng Kang Primary School,Languages,Enhanced Spoken English Programme,Sports & Outdoor Education,Developing Values And Leadership Through Sports Education,Na,Na
Seng Kang Green Primary School,Na,Na,Music & Performing Arts/ Visual Arts & Design,Icar2E Through The Arts,Na,Na
Shuqun Primary School,Na,Na,Sports & Outdoor Education,Character And Leadership Development Through Adventure (Clad),Na,Na
Si Ling Primary School,Science,Environmental Science Programme,Na,Na,Na,Na
Singapore Chinese Girls' Primary School,Na,Na,Music & Performing Arts,Pam@Sc – Performing Arts And Music At Sc,Na,Na
South View Primary School,Ict & Media,"Energize, Excite, And Exalt! - Learning Through Empowering @ Svps",Music & Performing Arts,Love Dance.  Love Life!,Na,Na
Springdale Primary School,Interdisciplinary,Out-Of-Door Education (Ode) Through Curriculum Integration,Na,Na,Na,Na
St. Andrew'S Junior School,Interdisciplinary,A Saint Who Thinks Holistically,Sports & Outdoor Education,"Sports For Life – Spectator, Supporter And Sportsman",Na,Na
St. Anthony'S Canossian Primary School,Na,Na,Sports & Outdoor Education,Sacps Is Fit For Life – Building Resilience & Perseverance Through Sports & Games,Music & Performing Arts,Developing Confidence And Creativity Through The Performing Arts
St. Anthony'S Primary School,Na,Na,Visual Arts & Design,Visual Arts Programme For Active Learning (Vapal),Sports & Outdoor Education,Learn.Play.Grow – ‘Developing Character Through Sports’ Programme
St. Gabriel'S Primary School,Na,Na,Community Service & Student Leadership,Montfortian Leadership Programme (Mlp),Na,Na
St. Hilda'S Primary School,Languages,Developing Confident Communicators Through An Enriched Global Education -- The Hildan Ambassador’S Education,Visual Arts & Design,"Imprints Alive! Nurturing Creativity And Culture Through Performing Arts, Visual Arts And Leadership",Na,Na
St. Joseph'S Institution Junior,Na,Na,Sports & Outdoor Education,Sports Experience Reinforcing Values Education (Serve@Sjij),Na,Na
St. Margaret'S Primary School,Na,Na,Music & Performing Arts,"Dance A.L.I.V.E!: Dance For Agility, Life, Ingenuity, Versatility And Expression",Sports & Outdoor Education,Sports A. C<Sup>2</Sup>. E: Sports For All; Sports For Continuity & Character; Sports For Excellence
St. Stephen'S School,Na,Na,Music & Performing Arts,Music For Stephenians  (Must),Sports & Outdoor Education,Physical Education And Sports For Every Stephenian  (Passian)
Stamford Primary School,Na,Na,Sports & Outdoor Education,Character And Leadership Through Sports And Outdoor Education,Na,Na
Tampines North Primary School,Na,Na,Community Service & Student Leadership,Green For Life (G4Life) Programme: Character Building Through Environment Education,Na,Na
Tampines Primary School,Na,Na,Music & Performing Arts,"Star Acttitude: 
Pupils With Strengths, Talents, Aspiration And Resilience To Achieve A Character Turnaround And Transformation Inspired Through Drama In Education",Na,Na
Tanjong Katong Primary School,Na,Na,Sports & Outdoor Education,Team Sports Excellence @ Tkp,Na,Na
Tao Nan School,Mathematics,Application Of Mathematics For Lifelong Learning (Aml2),Sports & Outdoor Education,Enrich@Tns,Na,Na
Teck Ghee Primary School,Na,Na,Visual Arts & Design,Confident Communicators With Ceramics (C3),Na,Na
Teck Whye Primary School,Ict & Media,Media Whiz Kids! Nurturing Confident And Media Literate Communicators,Community Service & Student Leadership,"I-Lead, I-Serve – Leadership Through And As Service",Na,Na
Telok Kurau Primary School,Coding,Thinking Through Coding And Robotics,Sports & Outdoor Education,Character Development Through Team Sports,Na,Na
Temasek Primary School,Coding,Roboalert (Applicative Learning Experience Through Robotics At Temasek),Sports & Outdoor Education,Soar – Sports Opportunities For Active Lifestyle And Physical Resilience And Sporting Excellence,Na,Na
Townsville Primary School,Na,Na,Visual Arts & Design,Visual Arts For Life @ Townsville,Na,Na
Unity Primary School,Languages,Captivate! – Critical Thinking Accelerated Programme @ Ups,Community Service & Student Leadership,Charge Up! (Character Development Through Green & Experiential Learning @ Unity Primary),Na,Na
Waterway Primary School,Languages,Orators@Waterway,Na,Na,Na,Na
Wellington Primary School,Ict & Media,Promoting Student Enquiry & Independent Learning Through New Media,Music & Performing Arts,"Developing Student Talent And Life-Long Learning In Dance Through Addam (Academy Of Dance, Drama, Art & Music)",Na,Na
West Grove Primary School,Na,Na,Music & Performing Arts,Thoughtful Learning Through The Arts,Na,Na
West View Primary School,Science,F.R.I.E.N.D Of Earth,Music & Performing Arts,"Ace The Arts (Appreciate, Create, Explore To Excel)",Na,Na
West Spring Primary School,Science,Sustaining The Earth With Applied Solutions (Seas),Sports & Outdoor Education,Joyful Experienc.E. @ West Spring (Experienc.E. – Experience Challenging Endeavours),Na,Na
Westwood Primary School,Innovation & Enterprise,Positive Design Applied Learning Programme,Community Service & Student Leadership,Inspiring Student Leadership And Community Service Through Positive Education,Na,Na
White Sands Primary School,Ict & Media,Digital Media In Aesthetics & Languages,Na,Na,Na,Na
Woodgrove Primary School,Languages,Effective Communication Via Drama,Music & Performing Arts,Shine And Succeed Through Dance,Na,Na
Woodlands Primary School,Na,Na,Music & Performing Arts,Performance And Character Education Through Music (Pace@Music),Sports & Outdoor Education,Sports Performance And Character Education (Space)
Woodlands Ring Primary School,Science,Investigative Project Work @ Wrps,Na,Na,Na,Na
Xinghua Primary School,Na,Na,Visual Arts & Design,Developing Higher Order Thinking Through Visual Art,Na,Na
Xingnan Primary School,Na,Na,Music & Performing Arts,Flair@Xingnan – An Experience With Performing Arts,Na,Na
Xinmin Primary School,Na,Na,Community Service & Student Leadership,Cultivating A Life Of Values And Excellence (Clove),Na,Na
Xishan Primary School,Na,Na,Sports & Outdoor Education,Empowerment Through Sports Education,Na,Na
Yangzheng Primary School,Na,Na,Community Service & Student Leadership,Student Leadership And Life Skills Development Through Uniformed Groups,Na,Na
Yew Tee Primary School,Interdisciplinary,"D.R.E.A.M.@Yew Tee (Developing Reflective Learners, Empowering Creative Minds)",Sports & Outdoor Education,Holistic Enriching And Rewarding Outdoor Education & Sports (Heroes) @ Ytps,Na,Na
Yio Chu Kang Primary School,Science,Estem@Yckps (Alp In Environmental Stem-Based Applied Learning At Yckps),Music & Performing Arts,Create@ Yckps,Na,Na
Yishun Primary School,Science,"Work As A Team, Be Environmentally Green",Music & Performing Arts,"Viva De Symphonie – Championing Values: Living, Learning And Growing Through Music",Na,Na
Yu Neng Primary School,Ict & Media,The 3E Experience @ Ynps: Nurturing Future-Ready 21St Century Learners,Sports & Outdoor Education,Goal Gr3It – Character Development Through Sports @ Yu Neng Primary,Na,Na
Yuhua Primary School,Na,Na,Music & Performing Arts,Building Good Character Through Music And The Performing Arts,Na,Na
Yumin Primary School,Coding,"I3Quest –Question, Imagine, Innovate, Inspire",Community Service & Student Leadership,"Compassionate Champions, Rooted Singaporeans, Citizens Of The World – Developing 21St Cc In Yumin Champions",Na,Na
Zhangde Primary School,Science,Developing Zhangde Giver<Sup>3</Sup>S Values Through Environment Education,Na,Na,Na,Na
Zhenghua Primary School,Na,Na,Music & Performing Arts,Aesthetics Appreciation Through Dance Arts Education,Na,Na
Zhonghua Primary School,Na,Na,Community Service & Student Leadership,Green Education Movement @ Zhonghua Primary School (Gem@Zps),Na,Na
